consigne;mesure;erreur
3401;0;100
3057;675;77,92
3104;2400;22,68
3112;3375;-8,45
3135;5100;-62,68
3393;5400;-59,15
3112;4800;-54,24
3370;4425;-31,31
3401;2925;14
3393;2700;20,42
3073;2025;34,1
3378;2100;37,83
3401;2775;18,41
3112;3075;1,19
3386;3675;-8,54
3393;3899;-14,91
3112;3899;-25,29
3370;3525;-4,6
3393;3225;4,95
3401;3150;7,38
3081;2925;5,06
3221;3000;6,86
3393;3150;7,16
3104;3300;-6,31
3096;3300;-6,59
3112;3267;-4,98
3393;3225;4,95
3088;3150;-2,01
3081;3075;0,19
3057;3000;1,86
3409;3000;12
3393;3075;9,37
3096;3150;-1,74
3401;3375;0,76
3401;3300;2,97
3096;3225;-4,17
3401;3225;5,17
3393;3225;4,95
3401;3300;2,97
3401;3375;0,76
3393;3375;0,53
3378;3415;-1,1
3401;3450;-1,44
3393;3450;-1,68
3401;3375;0,76
3386;3225;4,75
3081;3225;-4,67
3401;3225;5,17
3370;3225;4,3
3088;3225;-4,44
3088;3225;-4,44
3378;3075;8,97
3096;3150;-1,74
3096;3150;-1,74
3088;3075;0,42
3401;3150;7,38
3104;3150;-1,48
3401;3193;6,12
3096;3375;-9,01
3401;3300;2,97
3417;3225;5,62
3088;3075;0,42
3378;3150;6,75
3401;3300;2,97
3417;3225;5,62
3393;3450;-1,68
3401;3525;-3,65
3401;3450;-1,44
3347;3525;-5,32
3386;3375;0,32
3393;3300;2,74
3088;3225;-4,44
3143;3075;2,16
3096;3044;1,68
3401;3000;11,79
3401;3075;9,59
3088;3225;-4,44
3393;3300;2,74
3104;3375;-8,73
3088;3375;-9,29
3065;3075;-0,33
3393;2925;13,79
3393;2925;13,79
3096;3000;3,1
3393;3150;7,16
3401;3300;2,97
3104;3375;-8,73
3393;3450;-1,68
3401;3450;-1,44
3393;3341;1,53
3151;3300;-4,73
3393;3375;0,53
3393;3750;-10,52
3081;3225;-4,67
3386;3075;9,18
3393;3150;7,16
3393;3225;4,95
3081;3300;-7,11
3362;3375;-0,39
3393;3375;0,53
3088;3300;-6,87
3081;3225;-4,67
3347;3000;10,37
3393;3075;9,37
3088;3075;0,42
3401;3044;10,5
3081;3225;-4,67
3393;3225;4,95
3104;3225;-3,9
3096;3150;-1,74
3393;3225;4,95
3401;3075;9,59
3096;3150;-1,74
3393;3225;4,95
3401;3300;2,97
3401;3375;0,76
3393;3450;-1,68
3393;3525;-3,89
3393;3525;-3,89
3073;3375;-9,83
3401;3300;2,97
3081;3193;-3,64
3378;3075;8,97
3088;3150;-2,01
3393;3300;2,74
2916;3300;-13,17
2549;3300;-29,46
1814;2925;-61,25
1814;2850;-57,11
1775;1725;2,82
1728;750;56,6
1689;1050;37,83
1751;1050;40,03
1743;1200;31,15
1720;1650;4,07
1751;2250;-28,5
1743;2175;-24,78
1743;2227;-27,77
1751;2175;-24,21
1751;1875;-7,08
1853;1650;10,96
2009;1575;21,6
3268;1500;54,1
3362;1800;46,46
4504;2850;36,72
4175;3450;17,37
4676;5250;-12,28
4895;5850;-19,51
4825;6225;-29,02
4825;6150;-27,46
5395;5175;4,08
4778;4650;2,68
4762;5100;-7,1
4762;4900;-2,9
5434;4500;17,19
5403;4425;18,1
4793;5175;-7,97
4817;5025;-4,32
4785;5625;-17,55
5411;5100;5,75
4801;4875;-1,54
5372;4725;12,04
5411;4725;12,68
4950;4875;1,52
5403;5325;1,44
5411;5250;2,98
5380;5400;-0,37
5466;5250;3,95
5466;5700;-4,28
5059;5420;-7,14
6850;5250;23,36
6396;5400;15,57
6631;6450;2,73
7585;6900;9,03
6756;7650;-13,23
6717;8100;-20,59
7608;6525;14,24
6694;7200;-7,56
6428;6750;-5,01
5427;7125;-31,29
5497;6525;-18,7
4160;4725;-13,58
4629;4425;4,41
4606;3375;26,73
4074;3225;20,84
4606;3267;29,07
4113;3750;8,83
4574;4275;6,54
3425;4800;-40,15
2901;4650;-60,29
2385;4050;-69,81
2283;3450;-51,12
2220;1800;18,92
2064;1125;45,49
2220;1050;52,7
2244;750;66,58
2283;1500;34,3
2518;1875;25,54
3777;2850;24,54
3808;3375;11,37
5653;4350;23,05
5309;4950;6,76
6498;6525;-0,42
6248;6375;-2,03
5880;6975;-18,62
6193;7275;-17,47
4277;6075;-42,04
4301;5400;-25,55
3096;3899;-25,94
3378;3450;-2,13
5786;2250;61,11
5521;2325;57,89
6506;3825;41,21
6756;4875;27,84
6842;6900;-0,85
6725;8025;-19,33
7085;7275;-2,68
6803;7648;-12,42
6787;7575;-11,61
6795;7500;-10,38
7671;7350;4,18
7632;7275;4,68
6811;7050;-3,51
6905;7725;-11,88
6694;7200;-7,56
7499;6750;9,99
6803;6750;0,78
7749;6975;9,99
6107;7200;-17,9
5747;7350;-27,89
4950;6525;-31,82
5419;5850;-7,95
4512;4575;-1,4
5106;4158;18,57
4496;3600;19,93
5114;3675;28,14
4543;4125;9,2
4559;4500;1,29
5043;5400;-7,08
4222;5175;-22,57
4113;5025;-22,17
4238;4425;-4,41
4175;4050;2,99
4175;3899;6,61
4152;3675;11,49
3698;4050;-9,52
3519;3825;-8,7
2971;3825;-28,74
3221;3600;-11,77
2862;3118;-8,94
3143;2625;16,48
2963;2550;13,94
3143;2550;18,87
3135;2700;13,88
2885;3150;-9,19
2877;3300;-14,7
3143;3300;-5
2901;3150;-8,58
2877;3000;-4,28
2869;2775;3,28
3151;2700;14,31
3143;2700;14,09
2885;2850;1,21
3143;3000;4,55
3151;3150;0,03
3143;3193;-1,59
2893;3225;-11,48
3081;3225;-4,67
3143;3075;2,16
3151;2925;7,17
3143;3000;4,55
3135;3000;4,31
3143;3075;2,16
3002;3225;-7,43
3143;3375;-7,38
3143;3075;2,16
2877;3000;-4,28
2909;2925;-0,55
3143;2850;9,32
2869;2850;0,66
2877;2925;-1,67
2877;3044;-5,8
3143;2925;6,94
2877;3000;-4,28
2885;3000;-3,99
2854;2775;2,77
3151;2850;9,55
2885;2850;1,21
2869;2925;-1,95
3143;3000;4,55
3151;3075;2,41
2885;3075;-6,59
3143;3150;-0,22
3128;3150;-0,7
3143;3075;2,16
3135;3075;1,91
3143;3150;-0,22
3088;3118;-0,97
3135;3225;-2,87
3135;3075;1,91
3143;3000;4,55
3143;3000;4,55
2877;3000;-4,28
3096;3000;3,1
3143;3000;4,55
2877;3000;-4,28
2869;3000;-4,57
3081;2925;5,06
2956;2850;3,59
2885;2925;-1,39
2877;2850;0,94
3151;2850;9,55
3174;3000;5,48
3143;2970;5,5
2885;3150;-9,19
3151;3150;0,03
3159;3150;0,28
2893;3000;-3,7
3143;3000;4,55
3128;2925;6,49
3151;3225;-2,35
3143;3150;-0,22
3143;3150;-0,22
3143;3150;-0,22
2877;3150;-9,49
3143;3075;2,16
3135;3000;4,31
2885;2850;1,21
2854;2925;-2,49
2877;2821;1,95
3143;3075;2,16
2877;2850;0,94
2869;2925;-1,95
3143;2925;6,94
2877;2925;-1,67
2885;2925;-1,39
2877;2925;-1,67
3135;2925;6,7
2932;2925;0,24
2885;3075;-6,59
3143;2925;6,94
3151;3000;4,79
2963;3075;-3,78
3143;3150;-0,22
3143;3150;-0,22
3143;3118;0,8
3151;3075;2,41
3143;3075;2,16
3143;3150;-0,22
3143;3075;2,16
3128;3075;1,69
3143;3150;-0,22
3143;3150;-0,22
2877;3000;-4,28
2940;2925;0,51
3143;2925;6,94
2885;2925;-1,39
2869;2850;0,66
2846;2925;-2,78
3167;2925;7,64
2885;2925;-1,39
3151;2896;8,09
2862;2925;-2,2
